SeqID,birdlow,birdmou,birdbho,birdsac,birdbak,birdgun,birddzo,oeco,othants,GI ,%overlap,length of match,E-value,ID,Phylum,Class,Order,Family,Genus,Species
seq13,1,0,0,0,1,0,0,1,0,gi|1327848352|dbj|LC172175.2|,78.873,142,9.18E-13,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Vespidae,[5]Vespa,[6]Vespa_velutina
seq14,1,0,0,0,0,0,0,0,0,gi|48256082|gb|AY252725.1|,86.301,73,4.27E-11,"Pilophorus juniperi 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Pilophorus,[6]Pilophorus_juniperi
seq15,1,0,0,0,0,0,0,1,0,gi|817597677|gb|KP973953.1|,86.42,162,1.47E-40,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Erebidae,[5]Callimorpha,[6]Callimorpha_dominula
seq16,1,1,1,0,0,0,0,1,0,gi|671384290|gb|KJ700369.1|,90.062,161,6.75E-49,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Campsosternus,[6]Campsosternus_auratus
seq17,1,1,1,0,0,0,0,0,0,gi|157417383|gb|EF623186.1|,91.824,159,1.86E-54,"Amphinemura nigritta 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Plecoptera,[4]Nemouridae,[5]Amphinemura,[6]Amphinemura_nigritta
seq18,1,0,1,0,0,0,0,1,0,gi|937501340|gb|KR478686.1|,87.117,163,3.16E-42,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Apocheima,[6]Apocheima_cinerarius
seq19,1,0,1,1,1,1,0,0,0,gi|353334561|gb|JN003915.1|,81.25,144,1.51E-20,"Rhysida longipes isolate CES07263 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Rhysida,[6]Rhysida_longipes
seq20,0,0,0,0,0,0,0,1,0,gi|953514745|gb|KT780632.1|,87.129,101,4.21E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Staphylinidae,[5]Bisnius,[6]Bisnius_sordidus
seq21,0,0,1,0,0,0,0,1,1,gi|953966628|dbj|LC099168.1|,90.909,99,8.99E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq22,1,0,1,1,1,0,1,0,0,gi|815930842|gb|KP245955.1|,83.217,143,4.18E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_coccinea
seq24,0,0,0,0,1,0,0,1,0,gi|1384965909|gb|MF286854.1|,85.621,153,1.48E-35,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Ectobiidae,[5]Sorineuchora,[6]Sorineuchora_nigra
seq25,1,0,0,0,0,0,0,1,0,gi|948550416|gb|KT750964.1|,87.879,165,1.89E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Pyralidae,[5]Galleria,[6]Galleria_mellonella
seq26,0,0,0,0,0,0,0,1,0,gi|390432800|gb|JN172633.1|,98.16,163,2.34E-73,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadidae,[5]Scieroptera,[6]Scieroptera_splendidula
seq27,0,0,0,0,0,1,0,0,0,gi|158832211|dbj|AB363720.1|,89.209,139,1.90E-39,"Cacopsylla qianli mitochondrial gene for 16S rRNA, partial sequence, isolate: MC-Q",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_qianli
seq29,0,0,0,0,0,0,0,1,0,gi|110676368|gb|DQ788116.1|,81.897,116,1.53E-15,"Bombus sylvicola voucher SC108 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Apidae,[5]Bombus,[6]Bombus_sylvicola
seq31,1,1,1,0,0,0,0,1,0,gi|1148356537|gb|KY016060.1|,88.321,137,1.15E-36,N/A,[1]Arthropoda,[2]Arachnida,[3]Araneae,[4]Pisauridae,[5]Dolomedes,[6]Dolomedes_sp._CG96
seq32,1,0,1,0,0,0,0,0,0,gi|924434888|gb|KP082039.1|,85.89,163,2.46E-38,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Lymantriidae,[5]Lacida,[6]Lacida_sp._H389
seq34,1,0,0,1,1,0,0,0,0,gi|88909373|gb|DQ407801.1|,83.544,158,1.93E-29,"Parnassius imperator gigas voucher UP 100-6 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Papilionidae,[5]Parnassius,[6]Parnassius_imperator
seq35,0,0,0,0,0,1,0,0,0,gi|815930842|gb|KP245955.1|,89.13,138,6.85E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_coccinea
seq36,1,1,1,0,0,0,0,1,0,gi|1148356537|gb|KY016060.1|,88.321,137,1.15E-36,N/A,[1]Arthropoda,[2]Arachnida,[3]Araneae,[4]Pisauridae,[5]Dolomedes,[6]Dolomedes_sp._CG96
seq37,1,1,1,0,0,0,0,1,0,gi|1148356537|gb|KY016060.1|,88.406,138,3.19E-37,N/A,[1]Arthropoda,[2]Arachnida,[3]Araneae,[4]Pisauridae,[5]Dolomedes,[6]Dolomedes_sp._CG96
seq38,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,8.99E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq39,1,0,0,0,0,0,0,0,0,gi|353334561|gb|JN003915.1|,81.25,144,4.21E-21,"Rhysida longipes isolate CES07263 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Rhysida,[6]Rhysida_longipes
seq40,1,0,0,0,0,0,0,0,0,gi|962094378|gb|KR903694.1|,82.803,157,6.95E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Landreva,[6]Landreva_sp._n._India
seq41,0,0,0,1,0,1,0,0,0,gi|109390854|emb|AJ495577.1|,85.821,134,2.50E-28,Gymnetron bipustulatum partial mitochondrial 16S rRNA gene,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Gymnetron,[6]Gymnetron_bipustulatum
seq42,0,0,0,1,1,1,1,0,0,gi|815930842|gb|KP245955.1|,88.406,138,3.19E-37,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_coccinea
seq43,0,0,0,0,0,0,0,1,0,gi|1145996103|gb|KY224437.1|,95.122,164,1.42E-65,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
seq44,0,0,1,0,0,0,0,1,0,gi|9789122|gb|AF173057.1|,88.272,162,5.26E-45,"Spodoptera exigua 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Spodoptera,[6]Spodoptera_exigua
seq47,0,0,1,0,0,0,0,0,0,gi|694176952|dbj|AB856944.1|,87.162,148,3.19E-37,N/A,[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Caeciliusidae,[5]Caecilius,[6]Caecilius_sp._KY389
seq48,1,1,1,0,0,0,0,1,0,gi|1148356537|gb|KY016060.1|,88.489,139,8.86E-38,N/A,[1]Arthropoda,[2]Arachnida,[3]Araneae,[4]Pisauridae,[5]Dolomedes,[6]Dolomedes_sp._CG96
seq49,1,0,0,0,0,0,0,1,0,gi|619323478|gb|KF626026.1|,85.075,134,8.99E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Cardiophorinae,[6]Cardiophorinae_sp._UPOL_RK0035
seq50,0,0,0,1,0,0,0,0,0,gi|922579436|gb|KT304175.1|,90.062,161,5.22E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Maladera,[6]Maladera_sp._836062
seq51,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,91.139,158,3.12E-52,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq53,0,0,1,0,0,0,0,0,0,gi|73761830|gb|DQ104770.1|,93.878,98,1.15E-31,"Matsumuraiella radiopicta 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Dasydemellidae,[5]Matsumuraiella,[6]Matsumuraiella_radiopicta
seq54,1,0,0,0,0,0,0,1,0,gi|669176322|gb|KJ739310.1|,85.89,163,6.85E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Crambidae,[5]Spoladea,[6]Spoladea_recurvalis
seq56,1,0,0,0,0,0,0,0,0,gi|1145999359|gb|KY224673.1|,99.39,164,1.08E-76,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Microtermes,[6]Microtermes_sp._1_TB-2017
seq57,0,0,0,0,0,0,0,0,1,gi|296248701|gb|HM015971.1|,81.707,164,1.50E-25,"Pheidole xanthogaster voucher ALMCH1085_8 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pheidole,[6]Pheidole_xanthogaster
seq58,0,0,0,0,0,0,0,1,0,gi|12002726|gb|AF158046.1|AF158046,91.083,157,4.04E-51,"Raivuna sp. WBY-2000 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Dictyopharidae,[5]Raivuna,[6]Raivuna_sp._WBY-2000
seq59,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,92.405,158,5.18E-55,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq61,1,0,0,0,0,0,0,1,0,gi|27464033|gb|AF514609.1|,80.838,167,2.52E-23,"Taciturna lyndonestesi 16S ribosomal RNA gene, partial sequence",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Taciturna,[6]Taciturna_lyndonestesi
seq62,0,0,0,0,0,0,0,1,0,gi|51236708|gb|AY601279.1|,88.415,164,4.07E-46,"Attacus atlas 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Saturniidae,[5]Attacus,[6]Attacus_atlas
seq63,1,0,0,1,1,0,0,0,0,gi|575427322|gb|KF205892.1|,91.791,134,2.45E-43,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Megascolecidae,[5]Perionyx,[6]Perionyx_excavatus
seq64,0,0,1,0,0,0,1,0,0,gi|440919916|gb|JQ782756.1|,77.576,165,7.10E-14,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Anthocoridae,[5]Xylocoris,[6]Xylocoris_flavipes
seq65,0,0,1,0,0,0,0,0,0,gi|401785552|gb|JX433322.1|,85.714,98,2.53E-18,"Nesophrosyne sp. 202 GMB-2012 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Nesophrosyne,[6]Nesophrosyne_sp._202_GMB-2012
seq66,0,0,0,0,1,1,0,0,0,gi|575427322|gb|KF205892.1|,88.636,132,3.59E-36,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Megascolecidae,[5]Perionyx,[6]Perionyx_excavatus
seq67,0,0,1,0,0,0,0,0,0,gi|111117548|gb|DQ787939.1|,81.707,164,4.71E-25,"Brevicornu sp. ER-27 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Mycetophilidae,[5]Brevicornu,[6]Brevicornu_sp._ER-27
seq71,1,0,0,0,0,0,0,0,0,gi|139528425|gb|EF490152.1|,82.895,152,7.82E-28,"Strongylium sp. UPOL ZL0034 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Strongylium,[6]Strongylium_sp._UPOL_ZL0034
seq73,0,0,1,0,0,0,0,0,0,gi|290466047|gb|GU143727.1|,84.783,138,1.01E-26,"Ochthebius gibbosus voucher MNCN-AI365/23711 16S ribosomal RNA (rrnL) gene, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and NAD dehydrogenase 1 (nad1) gene, partial cds; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Hydraenidae,[5]Ochthebius,[6]Ochthebius_gibbosus
seq75,1,0,1,0,0,0,0,0,0,gi|353334561|gb|JN003915.1|,81.25,144,1.32E-20,"Rhysida longipes isolate CES07263 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Rhysida,[6]Rhysida_longipes
seq78,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,7.82E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq79,0,0,0,0,0,0,0,1,0,gi|146198191|dbj|AB265409.1|,87.879,165,5.92E-44,"Xerodes rufescentarius gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Xerodes,[6]Xerodes_rufescentarius
seq83,0,0,0,1,1,0,0,0,0,gi|158832191|dbj|AB363700.1|,89.928,139,1.28E-40,"Psylla lanceolata mitochondrial gene for 16S rRNA, partial sequence, isolate: DA-1",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Psylla,[6]Psylla_lanceolata
seq86,1,0,0,0,0,0,0,1,0,gi|146198162|dbj|AB265380.1|,89.634,164,5.87E-49,"Arichanna tetrica gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Arichanna,[6]Arichanna_tetrica
seq87,0,0,0,0,0,0,0,1,0,gi|1243413537|gb|KX437739.1|,80.451,133,1.72E-14,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Osbornellus,[6]Osbornellus_sp._EMHAU-2015-Zz052506
seq88,0,0,1,0,0,0,0,0,0,gi|1103528674|gb|KX673196.1|,86.486,111,6.09E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Dermaptera,[4]Anisolabididae,[5]Euborellia,[6]Euborellia_arcanum
seq89,0,0,1,0,1,0,1,0,0,gi|158832191|dbj|AB363700.1|,89.552,134,2.77E-37,"Psylla lanceolata mitochondrial gene for 16S rRNA, partial sequence, isolate: DA-1",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Psylla,[6]Psylla_lanceolata
seq90,0,0,1,0,0,0,0,0,0,gi|12002709|gb|AF158029.1|AF158029,85.89,163,2.77E-37,"Rhotala formosana 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Achilidae,[5]Rhotala,[6]Rhotala_formosana
seq91,0,0,0,1,0,0,0,0,0,gi|51243163|gb|AY601890.1|,87.586,145,2.77E-37,"Bactericera cockerelli cytochrome b (cytB) gene, partial cds; tRNA-Ser gene, complete sequence; NADH dehydrogenase subunit 1 (nd1) gene, complete cds; tRNA-Leu, large subunit ribosomal RNA, and tRNA-Val genes, complete sequence; and small subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Triozidae,[5]Bactericera,[6]Bactericera_cockerelli
seq92,0,0,0,0,1,0,0,0,0,gi|33150343|gb|AY275350.1|,89.899,99,3.64E-26,"Ectopsocus meridionalis 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Psocoptera,[4]Ectopsocidae,[5]Ectopsocus,[6]Ectopsocus_meridionalis
seq93,1,0,0,0,0,0,0,0,0,gi|669819427|gb|KF525445.1|,82.353,153,1.69E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cercopidae,[5]Notozulia,[6]Notozulia_entreriana
seq95,1,0,0,0,0,0,0,1,0,gi|1145999855|gb|KY224709.1|,88.957,163,3.54E-46,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_sp._6_TB-2017
seq96,0,0,0,0,0,1,0,0,0,gi|575427322|gb|KF205892.1|,87.879,132,1.67E-34,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Megascolecidae,[5]Perionyx,[6]Perionyx_excavatus
seq97,0,0,0,1,0,0,0,0,0,gi|298683811|gb|HM132112.1|,97.468,158,5.71E-69,"Tabanus maculicornis 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Tabanidae,[5]Tabanus,[6]Tabanus_maculicornis
seq98,0,0,0,0,0,0,0,1,0,gi|1200754194|gb|MF073207.1|,83.333,168,1.00E-31,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Pyralidae,[5]Meroptera,[6]Meroptera_pravella
seq99,0,0,1,1,0,0,0,0,0,gi|1103528674|gb|KX673196.1|,85.586,111,2.83E-22,N/A,[1]Arthropoda,[2]Insecta,[3]Dermaptera,[4]Anisolabididae,[5]Euborellia,[6]Euborellia_arcanum
seq100,0,0,0,0,0,0,0,1,0,gi|1327848352|dbj|LC172175.2|,79.137,139,7.99E-13,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Vespidae,[5]Vespa,[6]Vespa_velutina
seq102,0,0,0,0,0,0,0,1,0,gi|1381394343|ref|NC_037515.1|,92.025,163,1.25E-55,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Erebidae,[5]Paraona,[6]Paraona_staudingeri
seq103,0,0,0,0,0,0,0,1,0,gi|1013824907|gb|KT443883.1|,83.237,173,3.61E-31,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Crambidae,[5]Parapoynx,[6]Parapoynx_crisonalis
seq104,0,0,1,0,0,0,0,0,0,gi|575427322|gb|KF205892.1|,92.424,132,1.65E-44,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Megascolecidae,[5]Perionyx,[6]Perionyx_excavatus
seq105,0,0,1,0,0,0,0,0,0,gi|1178768468|gb|KX087275.1|,83.544,158,2.79E-32,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Curculionidae_sp._6_AH-2016,[6]Curculionidae_sp._6_AH-2016
seq106,0,0,0,1,0,0,0,0,0,gi|157417437|gb|EF623240.1|,78.947,171,2.20E-18,"Perlinella drymo 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Plecoptera,[4]Perlidae,[5]Perlinella,[6]Perlinella_drymo
seq107,1,0,1,0,0,0,0,0,0,gi|27463922|gb|AF514498.1|,89.241,158,9.83E-47,"Japanese Meconematinae MCJ-2002 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Japanese_Meconematinae_sp._MCJ-2002,[6]Japanese_Meconematinae_sp._MCJ-2002
seq109,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,88.889,99,1.69E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq110,0,0,1,0,0,0,0,0,0,gi|727826697|gb|KM874804.1|,93.75,160,4.48E-60,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Yponomeutidae,[5]Prays,[6]Prays_oleae
seq111,0,0,0,0,0,0,0,1,0,gi|317106957|dbj|AB556947.1|,83.654,104,1.03E-16,"Pristomyrmex punctatus mitochondrial DNA, complete genome, country: Japan: Gifu, Kii-Nagashima",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pristomyrmex,[6]Pristomyrmex_punctatus
seq112,0,0,0,0,0,0,0,1,0,gi|974709219|gb|KP829010.1|,87.879,99,1.02E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Bothrideridae,[5]Bothrideres,[6]Bothrideres_sp._CO912
seq114,0,0,0,0,1,0,0,0,0,gi|161318266|gb|EU164608.1|,93.631,157,7.49E-58,"Stephostethus lardarius 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Latridiidae,[5]Stephostethus,[6]Stephostethus_lardarius
seq115,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,7.82E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq116,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,91.139,158,2.71E-52,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq117,0,0,0,0,1,0,0,0,0,gi|81367898|gb|DQ202529.1|,97.484,159,1.59E-69,"Epuraea melanocephala voucher BMNH:679164 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Nitidulidae,[5]Epuraea,[6]Epuraea_melanocephala
seq118,1,0,0,0,0,0,0,0,0,gi|1384965912|gb|MF286857.1|,90.323,155,2.11E-48,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Ectobiidae,[5]Episymploce,[6]Episymploce_kunmingi
seq119,0,0,0,1,1,0,0,0,0,gi|1134613453|gb|KX943429.1|,82.051,117,1.03E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Hydrothassa,[6]Hydrothassa_fairmairei
seq121,0,0,0,0,0,0,0,1,0,gi|937501340|gb|KR478686.1|,87.73,163,5.92E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Apocheima,[6]Apocheima_cinerarius
seq122,0,0,0,0,0,0,0,1,0,gi|974709219|gb|KP829010.1|,87.879,99,1.02E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Bothrideridae,[5]Bothrideres,[6]Bothrideres_sp._CO912
seq123,0,0,1,0,0,0,0,0,0,gi|828352818|gb|KP406518.1|,80.503,159,3.66E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Enicocephalidae,[5]Stenopirates,[6]Stenopirates_sp._PJ-2015
seq124,0,0,0,1,1,0,0,0,0,gi|146198208|dbj|AB265426.1|,87.037,162,9.90E-42,"Operophtera relegata gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Operophtera,[6]Operophtera_relegata
seq125,0,0,0,0,0,0,0,1,0,gi|767521410|gb|KJ934418.1|,96.273,161,2.66E-67,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_sp._ENT-MG176
seq126,1,0,0,0,0,0,0,0,0,gi|290466055|gb|GU143731.1|,82.353,153,3.64E-26,"Ochthebius granulatus voucher MNCN-AI291/23637 16S ribosomal RNA (rrnL) gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Hydraenidae,[5]Ochthebius,[6]Ochthebius_granulatus
